Title,Start,End,Duration,Image,
In Nest,2012-10-26 21:40:55,2012-10-26 21:47:38,0:6:403,http://punkoryan.com/phidgetSBC2/2012-10-26-21-40-55.jpg,
Out Nest,2012-10-26 21:46:57,2012-10-26 21:48:34,0:1:97,http://punkoryan.com/phidgetSBC2/2012-10-26-21-46-57.jpg,
In Nest,2012-10-26 21:47:45,2012-10-26 22:14:08,0:26:1583,http://punkoryan.com/phidgetSBC2/2012-10-26-21-47-45.jpg,
Out Nest,2012-10-26 22:13:28,2012-10-26 22:15:04,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-22-13-28.jpg,
In Nest,2012-10-26 22:14:15,2012-10-26 22:23:54,0:9:579,http://punkoryan.com/phidgetSBC2/2012-10-26-22-14-15.jpg,
Out Nest,2012-10-26 22:23:11,2012-10-26 22:24:49,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-26-22-23-12.jpg,
In Nest,2012-10-26 22:24:01,2012-10-26 22:25:58,0:1:117,http://punkoryan.com/phidgetSBC2/2012-10-26-22-24-01.jpg,
Out Nest,2012-10-26 22:25:19,2012-10-26 22:26:53,0:1:94,http://punkoryan.com/phidgetSBC2/2012-10-26-22-25-19.jpg,
In Nest,2012-10-26 22:26:05,2012-10-26 22:30:22,0:4:257,http://punkoryan.com/phidgetSBC2/2012-10-26-22-26-05.jpg,
Out Nest,2012-10-26 22:29:42,2012-10-26 22:31:18,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-22-29-42.jpg,
In Nest,2012-10-26 22:30:29,2012-10-26 22:35:53,0:5:324,http://punkoryan.com/phidgetSBC2/2012-10-26-22-30-29.jpg,
Out Nest,2012-10-26 22:35:13,2012-10-26 22:36:49,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-22-35-13.jpg,
In Nest,2012-10-26 22:36:00,2012-10-26 22:51:20,0:15:920,http://punkoryan.com/phidgetSBC2/2012-10-26-22-36-00.jpg,
Out Nest,2012-10-26 22:50:40,2012-10-26 22:52:52,0:2:132,http://punkoryan.com/phidgetSBC2/2012-10-26-22-50-40.jpg,
In Nest,2012-10-26 22:52:03,2012-10-26 22:53:53,0:1:110,http://punkoryan.com/phidgetSBC2/2012-10-26-22-52-03.jpg,
Out Nest,2012-10-26 22:53:10,2012-10-26 22:54:48,0:1:98,http://punkoryan.com/phidgetSBC2/2012-10-26-22-53-10.jpg,
In Nest,2012-10-26 22:54:00,2012-10-26 22:55:46,0:1:106,http://punkoryan.com/phidgetSBC2/2012-10-26-22-54-00.jpg,
Out Nest,2012-10-26 22:55:06,2012-10-26 22:56:47,0:1:101,http://punkoryan.com/phidgetSBC2/2012-10-26-22-55-06.jpg,
In Nest,2012-10-26 22:55:59,2012-10-26 22:57:58,0:1:119,http://punkoryan.com/phidgetSBC2/2012-10-26-22-55-59.jpg,
Out Nest,2012-10-26 22:57:17,2012-10-26 22:58:53,0:1:96,http://punkoryan.com/phidgetSBC2/2012-10-26-22-57-17.jpg,
In Nest,2012-10-26 22:58:05,2012-10-26 23:00:03,0:1:118,http://punkoryan.com/phidgetSBC2/2012-10-26-22-58-05.jpg,
Out Nest,2012-10-26 22:59:23,2012-10-26 23:01:26,0:2:123,http://punkoryan.com/phidgetSBC2/2012-10-26-22-59-23.jpg,
